;cell_id;cell_type;numb_events;wp_avg;wp_amplitude_pre;wp_amplitude_post;vm_avg;vm_amplitude_pre;vm_amplitude_post;ap_avg;ap_psth;ap_fr_pre;ap_fr_post;delta_wp;delta_vm;delta_ap
0;JP902_1;EXC;15;"[-0.0423555   0.02209543  0.95480789  1.74674451  2.09072815  1.6618241
  1.52891501  1.1422746   0.91968017  2.11292825  6.11191895  8.39624901
  5.9170533   2.46196275  2.65959299  3.47588709  4.1064296   3.63462915
  2.16442239  2.95604689  4.41966663  4.68127241  3.63836568  1.97687286
  0.90961646  1.01944637  1.74363061  1.64645688  2.31954124  2.47268854
  2.66792918  3.67301366  3.86383236  2.274458    1.35878853  1.5586867
  2.71663526  2.93254199  2.81224207  3.22977285]";1.313173468112943;4.325349469220194;"[-0.05849542 -0.05849208 -0.05848188 ... -0.05855333 -0.05855688
 -0.05856104]";-57.0484254199702;-58.19486837243365;[0. 0. 0. ... 0. 0. 0.];"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]";0.0;0.0;3.0121760011072514;-1.1464429524634525;0.0
1;JP903_1;EXC;25;"[ 3.46126378  5.02641309  6.38553629  6.60490822  6.0992622   5.86261077
  5.95131592  5.80966243  6.74033233 10.16246459 15.17449481 18.16114839
 14.23043187  8.2539614   6.97675875  8.36188713  9.63354538  9.58169904
  8.93161526  9.60144748 10.05681501  9.91660627  9.96604503  9.65359891
  8.92320488  8.5941805   9.15330223 10.52219126 11.4769961  10.86389402
  9.32042878  8.63579271  7.81303987  7.82443248  7.72116304  7.61536169
  8.85715571  9.68647757  9.86836542 10.18874079]";6.090980361938474;11.033949113633895;"[-0.06744025 -0.0674415  -0.06744262 ... -0.06610587 -0.066115
 -0.06612075]";-68.16757480389553;-66.25880541474655;[0. 0. 0. ... 0. 0. 0.];"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]";0.8008008008008007;0.0;4.942968751695421;1.9087693891489863;-0.8008008008008007
2;JP905_1;EXC;13;"[ 2.8476835   2.5028099   2.362086    3.83812975  5.61984896  6.80452274
  6.3164466   7.63042269  9.82371977 13.33836166 18.24636558 19.07173839
 10.93922801  5.33892134  7.43113306  8.88653677  8.79508857  7.62913257
  5.70844502  5.70822163  7.61891232  8.41715906  8.25277477  7.81359333
  7.33743193  6.31497425  5.67394579  5.06649933  4.40137188  3.92558601
  3.20329413  2.58625917  2.98977454  2.67073472  2.4927956   2.39452122
  2.56245022  2.97919     3.44295779  4.01489203]";7.643777950176824;10.227398811487049;"[-0.05589591 -0.05590601 -0.05591851 ... -0.05604663 -0.05606755
 -0.05607836]";-55.262388775956005;-54.55509232645354;[0. 0. 0. ... 0. 0. 0.];"[0.         0.         0.         0.         0.         0.
 0.         7.69230769 0.         0.         0.         0.
 0.         0.         7.69230769 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]";1.5400015400015403;0.7696155770192789;2.5836208613102247;0.707296449502465;-0.7703859629822615
3;JP906_1;EXC;34;"[-6.2081157  -4.52626429 -3.36268624 -3.3445803  -3.54471306 -3.90983275
 -4.39698334 -4.98101028 -4.17047204 -0.22534861  4.95221911  7.43489214
  3.59019679 -2.30996903 -3.98736762 -3.42592729 -2.28250396 -2.38032142
 -1.95748436 -2.30500821 -2.70046048 -2.65320384 -2.1151877  -1.93462396
 -1.52165856 -1.03161827 -0.30898076  0.39833597  0.46054104 -0.0355941
 -1.84616995 -2.70323401 -1.6221608  -0.1769405  -0.8372358  -2.33352162
 -3.55091057 -3.89823108 -3.46925219 -2.76496458]";-4.364574601790487;-0.040696181758739874;"[-0.05486976 -0.05487638 -0.05487959 ... -0.05152114 -0.05152417
 -0.05153318]";-55.65034337135593;-48.444484119922805;[0. 0. 0. ... 0. 0. 0.];"[ 0.          0.          0.          2.94117647  0.          0.
  0.          0.          2.94117647  0.          0.          8.82352941
 11.76470588 17.64705882  2.94117647  2.94117647  0.          2.94117647
  0.          0.          0.          0.          0.          2.94117647
  2.94117647  5.88235294  0.          2.94117647  0.          0.
  0.          0.          0.          2.94117647  8.82352941  2.94117647
  0.          2.94117647  0.          0.        ]";0.588824118235883;4.708236471176765;4.323878420031747;7.205859251433125;4.1194123529408815
4;JP907_1;EXC;18;"[-6.67765146 -6.05041848 -5.10927328 -5.07622554 -5.15613024 -5.6148318
 -6.40314017 -5.962276   -4.73939908 -0.82854344  3.91779874  4.43868395
 -0.9591044  -5.65975254 -5.44384475 -4.3606257  -3.55302608 -2.58530449
 -3.01057204 -2.61883455 -1.86465055 -0.90891374 -1.51569439 -2.8901267
 -3.66688795 -3.6746366  -1.96536734 -0.68887786 -1.38499651 -1.41808248
 -2.26345403 -3.76482341 -4.1555263  -4.03862307 -3.02855536 -2.17826736
 -2.04167642 -3.1418962  -3.19041604 -3.59367316]";-5.679911762343515;-1.9128608137295595;"[-0.05326163 -0.05326198 -0.05326198 ... -0.0538026  -0.05381076
 -0.05379427]";-53.10291857125628;-53.0957348287962;[0. 0. 0. ... 0. 0. 0.];"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]";0.0;0.0;3.7670509486139556;0.00718374246007869;0.0
5;SC901_1;EXC;14;"[ 9.23462457  8.02944757  6.40238621  5.32731303  5.71647458  7.3291767
  9.95998458 13.04466911 16.475244   20.01506254 23.58237823 25.20800422
 23.34692165 19.27526338 15.43811706 12.22800333  9.09235094  7.92125642
  9.029467   11.47618337 13.98778378 17.40671037 20.74327252 23.2686949
 24.18525512 23.42315388 19.8503731  14.70390992 10.04494905  7.52307644
  7.57139332  9.26060375 10.58365928 11.99547537 13.91864492 15.94373888
 16.62966351 16.21713434 15.82858331 14.71289458]";11.702268599476364;16.124640246507916;"[-0.04058103 -0.04057991 -0.04058728 ... -0.03702962 -0.03704072
 -0.03705539]";-40.17953265765765;-35.77685644190314;[0. 0. 0. ... 0. 0. 0.];"[ 0.          0.          0.          0.          0.          0.
  0.          0.         14.28571429 14.28571429 57.14285714 14.28571429
 57.14285714 28.57142857 21.42857143 21.42857143 35.71428571 14.28571429
 21.42857143 21.42857143 14.28571429 21.42857143 28.57142857 35.71428571
 35.71428571 28.57142857  7.14285714 14.28571429 21.42857143 14.28571429
 35.71428571 28.57142857  7.14285714 14.28571429 28.57142857 42.85714286
 28.57142857 14.28571429  7.14285714 35.71428571]";5.7200057200057195;29.30036446794826;4.422371647031552;4.402676215754511;23.58035874794254
6;SC903_1;EXC;8;"[ 1.48044223  1.70098607  2.09650214  2.23566416  1.41106552  1.31805294
  1.25290309  1.70435566  4.97480761 10.70957735 17.05482231 19.12870706
 14.37060666  8.13079244  5.88231983  6.36870939  6.66146681  6.39331868
  5.85897435  7.60150014 10.03492177 10.15870969  8.16041711  6.12490279
  4.86258038  4.29275084  4.92353149  6.22789734  6.25654729  5.25609799
  4.57724233  3.66982535  2.56967745  1.31807318  2.02290193  5.00723039
  7.54096779  8.13475144  6.85322232  5.39191707]";2.312529823778902;9.983301947842214;"[-0.05504805 -0.05504961 -0.05503047 ... -0.05681094 -0.05681094
 -0.05680469]";-54.17235673173173;-55.152533884129575;[0. 0. 0. ... 0. 0. 0.];"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]";0.0;0.0;7.670772124063312;-0.9801771523978431;0.0
7;SC904_1;EXC;22;"[-0.76947732 -0.27894346  0.65904201  1.20678475  1.04446781  1.12581278
  1.47234428  1.375908    2.07525385  5.33673424 10.71879525 14.48383818
 10.11678347  4.00348117  3.91533942  5.75419963  7.01709952  7.12988092
  6.86226605  6.16647956  5.05860078  5.15543446  4.96986879  4.19919754
  3.87009905  3.83813271  3.45067019  3.05880578  3.69952579  4.61407669
  4.61766882  4.01296473  4.10152208  4.36419232  4.29073041  3.49698219
  2.2498445   1.87669729  2.02862413  2.74823111]";1.5123297279221608;7.777964845815338;"[-0.0473517  -0.04733892 -0.04734347 ... -0.04566477 -0.04565966
 -0.04566477]";-46.758403005278005;-42.36221523403747;[0. 0. 0. ... 0. 0. 0.];"[0.         0.         0.         0.         0.         0.
 0.         0.         4.54545455 0.         0.         4.54545455
 0.         4.54545455 0.         0.         4.54545455 0.
 0.         4.54545455 0.         0.         0.         0.
 0.         0.         0.         0.         9.09090909 0.
 0.         0.         4.54545455 0.         0.         0.
 0.         4.54545455 0.         0.        ]";0.91000091000091;1.8190913638637503;6.265635117893177;4.396187771240534;0.9090904538628403
8;SC905_1;EXC;25;"[ 0.02852001  0.05867331  0.47503044  1.20956245  1.99452521  3.57664405
  5.4684332   6.13595319  6.89108351  9.52665786 14.78197952 18.96468507
 15.03620506  8.92601886  9.47928633 10.48736134  9.87172105  9.89230338
 10.65302221 10.90459946  9.9057169   8.26317829  7.01640749  6.93282526
  7.54720578  7.78321242  7.02888296  6.7907669   7.68963201  8.51062197
  7.53616815  5.02234681  3.35438674  3.2771756   4.15900742  5.05078331
  4.88889903  3.91772933  3.49434497  3.09730759]";5.518028488027538;12.01028697808436;"[-0.059982   -0.05998363 -0.05999062 ... -0.06037625 -0.060391
 -0.0604045 ]";-61.55317917917918;-54.99243159079539;[0. 0. 0. ... 0. 0. 0.];"[8. 0. 0. 0. 0. 0. 0. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 0. 4. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 0. 4. 0. 0. 4. 0.]";0.8008008008008007;0.40020010005002504;6.492258490056823;6.560747588383791;-0.4006007007507757
9;SC906_1;EXC;12;"[-2.89579626 -3.62179751 -3.96838822 -3.10107258 -3.39032597 -4.55274884
 -5.36211916 -5.33189365 -4.22487503 -1.254667    3.02072026  5.64849819
  4.4370786   0.14959556 -1.58835126  0.29946047  2.56979282  3.35285667
  2.42267996  1.64250607  3.15755697  5.3956318   5.61061193  4.04654999
  2.66451232  1.72696042  1.56268078  2.15699107  3.10188408  3.14473015
  2.23783922  1.27169813  1.79883639  3.13092967  3.14049603  1.37444195
 -0.02881575 -0.50681432 -0.21137408  0.87243515]";-4.867909170249671;2.25692569767967;"[-0.05177266 -0.05176849 -0.05175964 ... -0.05169036 -0.05167578
 -0.05166823]";-52.38893919961628;-49.548517813594295;[0. 0. 0. ... 0. 0. 0.];"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         33.33333333  0.
  8.33333333  0.          0.          0.          0.          0.
  0.          0.          0.          0.          8.33333333  0.
  0.          0.          0.          8.33333333  8.33333333  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]";0.0;4.16875104218776;7.124834867929341;2.840421386021987;4.16875104218776
10;SC907_1;EXC;18;"[15.32541671 16.42240307 17.67430239 17.33440655 15.41400413 14.10558513
 15.28418435 17.30219633 18.75199213 19.18051297 19.37252498 18.45890227
 15.43841128 13.86090191 16.4829834  18.91819194 18.79421026 17.73382541
 17.52072519 17.04614198 16.4464333  16.05721264 16.48627757 17.02782169
 17.22960018 17.24951065 15.97474866 14.37594176 15.71421263 17.09920644
 17.28602981 14.9656331  12.7414456  13.10248329 12.90112118 14.23227424
 17.09125818 18.21128073 18.76771236 18.55394815]";16.360989482667705;17.397852959868345;"[-0.05758385 -0.05757656 -0.05756753 ... -0.05542222 -0.05542847
 -0.05541788]";-56.23583620159242;-53.819198222536656;[0. 0. 0. ... 0. 0. 0.];"[0.         0.         0.         0.         5.55555556 5.55555556
 0.         5.55555556 5.55555556 5.55555556 0.         0.
 0.         0.         5.55555556 0.         5.55555556 5.55555556
 0.         0.         0.         0.         0.         0.
 5.55555556 0.         0.         0.         0.         0.
 0.         0.         0.         5.55555556 0.         0.
 0.         0.         0.         0.        ]";4.448893337782226;1.6675004168751042;1.0368634772006402;2.416637979055764;-2.781392920907122
